image_id,assigned_rule_id,primary_class,deterministic_answer,sampled_answers,answer_agreement_rate,majority_sampled_answer,deterministic_matches_majority,top_region_overlap_score,object_region_overlap_score
0000007,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.974734170702857,0.28296904818069046
0000022,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.7345347771416604,0.7345347771416604
0000023,rule_1,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.06903344139802035,0.06903344139802035
0000034,rule_2,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9642064497483328,0.5121299903456116
0000037,rule_1,compliant,violation,"[""violation"", ""violation"", ""violation""]",1.0,violation,True,0.821606790367731,0.0
0000057,rule_1,compliant,compliant,"[""violation"", ""violation"", ""compliant""]",0.3333333333333333,violation,False,0.36190650157520615,0.19788361684960362
0000069,rule_1,compliant,violation,"[""compliant"", ""compliant"", ""violation""]",0.3333333333333333,compliant,False,0.32373361374277104,0.8315618003471075
0000074,rule_2,compliant,compliant,"[""compliant"", ""violation"", ""violation""]",0.3333333333333333,violation,False,0.2672222288154878,0.0
0000079,rule_3,fall_hazard,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9554323913189173,0.9554323913189173
0000081,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.06688786607127582,0.06688786607127582
0000102,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9376581551032884,0.25631311149255337
0000116,rule_1,ppe_violation,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.3779994100882078,0.24211221129962388
0000117,rule_3,fall_hazard,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.986403200112545,0.986403200112545
0000120,rule_4,struck_by_risk,hazard,"[""hazard"", ""hazard"", ""hazard""]",1.0,hazard,True,0.978098283992281,0.978098283992281
0000124,rule_2,compliant,violation,"[""compliant"", ""violation"", ""violation""]",0.3333333333333333,violation,True,0.9800919769698901,0.31095004772924206
0000129,rule_1,compliant,violation,"[""compliant"", ""violation"", ""compliant""]",0.3333333333333333,compliant,False,0.0,0.0
0000149,rule_2,fall_hazard,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.8058353306025484,0.7128047295979635
0000183,rule_1,compliant,violation,"[""violation"", ""compliant"", ""violation""]",0.3333333333333333,violation,True,0.3205129041134837,0.18666701705229505
0000203,rule_3,fall_hazard,violation,"[""violation"", ""compliant"", ""compliant""]",0.3333333333333333,compliant,False,0.010217110347480999,0.28703417733323894
0000204,rule_1,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9834645126699618,0.9834645126699618
0000205,rule_4,compliant,hazard,"[""hazard"", ""hazard"", ""hazard""]",1.0,hazard,True,0.9962537242686826,0.9962537242686826
0000229,rule_1,ppe_violation,compliant,"[""violation"", ""compliant"", ""compliant""]",0.3333333333333333,compliant,True,0.8932001199719889,0.25157163897732077
0000233,rule_1,ppe_violation,violation,"[""violation"", ""compliant"", ""violation""]",0.3333333333333333,violation,True,0.3254318676146534,0.5865717691698449
0000253,rule_3,fall_hazard,violation,"[""violation"", ""violation"", ""violation""]",1.0,violation,True,,
0000254,rule_3,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.7050481180152485,0.7050481180152485
0000280,rule_2,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9768994759636497,0.9768994759636497
0000288,rule_2,compliant,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9897191538454537,0.9897592522583305
0000325,rule_4,compliant,safe,"[""safe"", ""safe"", ""safe""]",1.0,safe,True,0.9668115897483265,0.9668115897483265
0000327,rule_4,struck_by_risk,hazard,"[""hazard"", ""hazard"", ""hazard""]",1.0,hazard,True,0.9913820230225654,0.9913820230225654
0000331,rule_4,struck_by_risk,hazard,"[""hazard"", ""hazard"", ""hazard""]",1.0,hazard,True,0.9964158708271479,0.9964158708271479
0000332,rule_2,fall_hazard,compliant,"[""compliant"", ""compliant"", ""compliant""]",1.0,compliant,True,0.9744548992912406,0.2900763086044584
0000341,rule_3,compliant,compliant,"[""compliant"", ""violation"", ""compliant""]",0.3333333333333333,compliant,True,0.009043526604483664,0.009043526604483664
0000361,rule_3,fall_hazard,violation,"[""violation"", ""violation"", ""violation""]",1.0,violation,True,,
0000370,rule_3,fall_hazard,compliant,"[""compliant"", ""violation"", ""compliant""]",0.3333333333333333,compliant,True,0.2845968577919065,0.2935659823459769
0000376,rule_3,fall_hazard,violation,"[""compliant"", ""violation"", ""compliant""]",0.3333333333333333,compliant,False,0.7454624206865476,0.7454624206865476
