image_id,primary_class,assigned_rule_id,baseline_answer,n_regions,answer_changed_top1,answer_changed_top2,masked_answer_top1,masked_answer_top2,confidence_drop_top1,confidence_drop_top2,baseline_graded_score,graded_score_drop_top1,graded_score_drop_top2,non_monotonic
0000007,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.06065487648759571,-0.05942596082708662,1.0,0.0,0.0,False
0000022,compliant,rule_3,compliant,4,False,False,compliant,compliant,-0.07709644937200388,-0.06913429754231837,1.0,0.0,0.0,False
0000023,compliant,rule_1,compliant,1,False,False,compliant,compliant,-0.0004931822992287893,-0.0004931822992287893,,,,False
0000034,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.05072621553047707,-0.05579893177907369,1.0,0.0,0.0,False
0000037,compliant,rule_1,violation,2,True,True,compliant,compliant,0.051180215552449226,0.04730898634131453,0.0,-1.0,-1.0,False
0000057,compliant,rule_1,compliant,4,False,False,compliant,compliant,-0.10633186699804398,-0.1082914206516844,1.0,0.0,0.0,False
0000069,compliant,rule_1,violation,2,True,False,compliant,violation,-0.02843679620751316,0.014767239136355359,0.0,-1.0,0.0,True
0000074,compliant,rule_2,compliant,2,True,True,violation,violation,-0.002124674119321268,-0.0021589312569371133,1.0,1.0,1.0,False
0000079,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.025710707996040583,0.007567474152892828,1.0,0.0,0.0,False
0000081,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.002733033948710939,0.09812507722163943,1.0,0.0,0.0,False
0000102,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.03613604385671876,0.03628952854445999,1.0,0.0,0.0,False
0000116,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.010076391660342354,-0.009979669902739796,1.0,0.0,0.0,False
0000117,fall_hazard,rule_3,compliant,3,False,False,compliant,compliant,-0.0932487724792389,-0.09923216478810415,1.0,0.0,0.0,False
0000120,struck_by_risk,rule_4,hazard,2,True,True,safe,safe,0.022906776190131595,-0.012161648617341037,0.0,-1.0,,False
0000124,compliant,rule_2,violation,2,True,True,compliant,compliant,-0.042191891265767056,-0.006585435131443829,0.0,-1.0,-1.0,False
0000129,compliant,rule_1,violation,2,True,True,compliant,compliant,0.022418951881783444,0.008823622517021734,0.0,-1.0,-1.0,False
0000149,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.08363410181936848,-0.07847339135544729,1.0,,,False
0000183,compliant,rule_1,violation,2,True,True,compliant,compliant,0.00520092421876539,0.03494362992101485,0.0,-1.0,-1.0,False
0000203,fall_hazard,rule_3,violation,2,False,True,violation,compliant,-0.0033599848725965886,0.013102253499839955,0.0,0.0,-1.0,False
0000204,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.05136306843321237,0.024801125506027866,1.0,0.0,0.0,False
0000205,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.036669590406947616,-0.08057958520398922,0.0,0.0,0.0,False
0000229,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.02409594047016328,0.024178379015730944,1.0,0.0,0.0,False
0000233,ppe_violation,rule_1,violation,2,False,True,violation,compliant,-0.024397827950971562,-0.014442703021424252,0.0,0.0,-1.0,False
0000253,fall_hazard,rule_3,violation,16,False,False,violation,violation,0.00016582229143957683,-0.02113180779493773,,,,False
0000254,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.00936272860105547,-0.004403694333242503,1.0,0.0,0.0,False
0000280,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.003688401808696007,-0.0056927197479774705,1.0,0.0,0.0,False
0000288,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.016136933650289342,0.016616943957550312,1.0,0.0,0.0,False
0000325,compliant,rule_4,safe,2,False,False,safe,safe,0.000351554540160004,0.02643736513270134,1.0,0.0,0.0,False
0000327,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.08705061319328478,0.04182867018551617,0.0,0.0,0.0,False
0000331,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.025939569645930916,0.09025596334326158,0.0,0.0,0.0,False
0000332,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.02219335861237981,-0.03424776438623667,1.0,0.0,0.0,False
0000341,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.021369114288358748,0.02188901025680945,1.0,0.0,0.0,False
0000361,fall_hazard,rule_3,violation,16,False,True,violation,compliant,0.002198890373520057,0.16710302399026677,,,,False
0000370,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.028794986960877234,-0.02720551971080054,1.0,1.0,1.0,False
0000376,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,-0.01481478468381936,-0.01427969456251188,0.0,-1.0,-1.0,False
0000413,compliant,rule_2,compliant,2,True,True,violation,violation,-0.016079673676618444,-0.05326613557658022,1.0,1.0,1.0,False
0000421,fall_hazard,rule_3,violation,2,False,False,violation,violation,-0.024093186482787132,-0.12060802493367218,0.0,0.0,0.0,False
0000433,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.06941586262871602,0.07414709007060871,0.0,0.0,0.0,False
0000437,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.01884367769317974,0.01734265698386095,1.0,0.0,0.0,False
0000444,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.010346819247518235,-0.01089916338345831,1.0,0.0,0.0,False
0000468,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.007057022902050125,0.005509957937257615,1.0,0.0,0.0,False
0000469,ppe_violation,rule_1,compliant,4,False,True,compliant,violation,0.02605123771354556,-0.009697634394147503,1.0,0.0,1.0,False
0000471,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.05872394000344949,0.05814618207013944,0.0,0.0,0.0,False
0000478,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.01854445485930356,-0.0376758820244244,1.0,1.0,1.0,False
0000486,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.014563374194446865,-0.020172168633767584,0.0,0.0,0.0,False
0000490,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,-0.07192537922671427,-0.07189381647950566,0.0,0.0,0.0,False
0000503,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.04650396700682391,0.025025543666069794,1.0,0.0,0.0,False
0000514,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.03854224484946056,0.03959618069763704,1.0,0.0,0.0,False
0000530,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.1696134516434865,-0.1694115962974173,0.0,0.0,0.0,False
0000545,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.07198068606001995,0.07193850207009478,1.0,0.0,0.0,False
0000550,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,0.06631044745223513,0.055282561940008024,0.0,-1.0,-1.0,False
0000551,compliant,rule_4,safe,1,False,False,safe,safe,-0.0179374864939994,-0.0179374864939994,,,,False
0000559,compliant,rule_4,hazard,2,True,True,safe,safe,0.04135770397999927,0.04112874781565057,0.0,-1.0,-1.0,False
0000568,compliant,rule_1,compliant,2,False,False,compliant,compliant,-0.011313406351421529,-0.010635398727442458,1.0,0.0,0.0,False
0000606,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.04746033321134746,0.04931197212343774,1.0,0.0,0.0,False
0000613,compliant,rule_4,safe,1,False,False,safe,safe,0.01808166177545356,0.01808166177545356,,,,False
0000620,compliant,rule_2,violation,16,False,False,violation,violation,0.010188323224467943,0.015957070293409537,,,,False
0000623,ppe_violation,rule_1,compliant,2,True,False,violation,compliant,-0.08730615203135783,-0.02326954794781544,1.0,1.0,0.0,True
0000625,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.3455604095278042,-0.3453413732793359,1.0,0.0,0.0,False
0000626,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,-0.0446527247383659,-0.062168357394901785,0.0,-1.0,-1.0,False
0000632,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.022965884268549952,0.04560742344308111,1.0,0.0,0.0,False
0000641,ppe_violation,rule_1,violation,2,False,False,violation,violation,0.012780389748513699,0.021574740830276773,0.0,0.0,0.0,False
0000642,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.09741716603185613,-0.09810044321456701,1.0,,,False
0000745,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.003811043121718871,-0.005161304791857058,1.0,0.0,0.0,False
0000755,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.03213333025840781,0.03222803445532918,1.0,0.0,0.0,False
0000760,compliant,rule_1,compliant,4,False,False,compliant,compliant,-0.010208038679723197,-0.05117395899391597,1.0,0.0,0.0,False
0000766,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.058694664056279766,0.058381897197770205,1.0,0.0,0.0,False
0000798,compliant,rule_3,violation,2,True,True,compliant,compliant,0.012415956107101223,-0.02098905434831977,0.0,-1.0,-1.0,False
0000804,compliant,rule_1,compliant,1,False,False,compliant,compliant,-0.03305964766500091,-0.03305964766500091,,,,False
0000874,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.14853821745382845,-0.14879868951269626,1.0,,,False
0000878,struck_by_risk,rule_4,hazard,3,False,False,hazard,hazard,0.029942881165843316,0.038405447397767745,0.0,0.0,0.0,False
0000879,compliant,rule_1,compliant,2,False,False,compliant,compliant,-0.007429882750979444,-0.007711360630180075,1.0,0.0,0.0,False
0000886,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.10658419717635426,0.10674856767235763,1.0,0.0,0.0,False
0000888,compliant,rule_4,safe,1,False,False,safe,safe,0.03569698522370013,0.03569698522370013,1.0,0.0,0.0,False
0000889,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.06418519712242732,0.06384097028948355,0.0,0.0,0.0,False
0000895,fall_hazard,rule_3,violation,2,False,True,violation,compliant,-0.06669702274458755,-0.04069365082042564,0.0,0.0,-1.0,False
0000904,compliant,rule_2,violation,2,False,False,violation,violation,-0.022744356721107528,-0.005648486682080844,0.0,0.0,0.0,False
0000905,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.007992067839950323,-0.009499634815645974,1.0,0.0,0.0,False
0000923,compliant,rule_2,compliant,1,False,False,compliant,compliant,-0.016140284231648927,-0.016140284231648927,,,,False
0000925,fall_hazard,rule_2,compliant,2,True,True,violation,violation,0.031778719442497494,0.03168552901063654,1.0,1.0,1.0,False
0000936,compliant,rule_4,safe,2,False,False,safe,safe,-0.004120956810693799,0.0018960725989133342,1.0,0.0,0.0,False
0000940,compliant,rule_3,violation,2,False,True,violation,compliant,0.00862270161243417,-0.011607014174972341,0.0,0.0,-1.0,False
0000959,compliant,rule_2,violation,2,True,False,compliant,violation,-0.013258154770093178,0.0011157187899308862,0.0,-1.0,0.0,True
0000991,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.013324489384623606,-0.028031930926122883,1.0,0.0,0.0,False
0000993,fall_hazard,rule_2,violation,2,False,False,violation,violation,0.02896745995219263,0.031302327489746484,0.0,0.0,0.0,False
0001014,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.025743939115532855,-0.04186957096680999,1.0,0.0,0.0,False
0001033,struck_by_risk,rule_4,safe,2,True,True,hazard,hazard,0.023549570450707047,0.07235084190255114,1.0,1.0,1.0,False
0001071,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,0.06832147486108758,0.032440145034343004,0.0,-1.0,-1.0,False
0001077,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.026487615624708805,-0.026694150508514425,1.0,0.0,0.0,False
0001081,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.04429664555937052,-0.015861416823186314,1.0,0.0,0.0,False
0001117,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.042523744848689815,0.042279818560928106,1.0,0.0,0.0,False
0001151,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.08556099796340189,-0.0859770441867902,1.0,,,False
0001194,fall_hazard,rule_3,violation,2,False,True,violation,compliant,-0.02200864641261946,-0.10707317305994879,0.0,0.0,-1.0,False
0001229,fall_hazard,rule_3,violation,16,True,True,compliant,compliant,0.09913484698959762,0.09341014070170262,,,,False
0001274,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.06370348070881204,0.024101186809795228,1.0,0.0,0.0,False
0001325,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.13008130764786574,0.06697801908566836,0.0,0.0,0.0,False
0001431,ppe_violation,rule_1,violation,2,True,True,compliant,compliant,-0.011460717235292739,-0.008757007707442588,0.0,-1.0,-1.0,False
0001436,fall_hazard,rule_3,compliant,2,False,True,compliant,violation,0.014472680432455975,-0.011994220715548343,1.0,0.0,1.0,False
0001460,ppe_violation,rule_1,compliant,2,True,True,violation,violation,0.039688531775027514,0.039610492464687064,1.0,1.0,1.0,False
0001470,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.007883630426866683,0.004816733300685883,1.0,0.0,0.0,False
0001484,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.013280827818172303,0.08606528317821882,1.0,0.0,0.0,False
0001512,struck_by_risk,rule_4,hazard,2,True,True,safe,safe,0.0568160958478956,0.05700656446436092,0.0,,,False
0001520,fall_hazard,rule_3,compliant,3,False,False,compliant,compliant,-0.0702052465196521,-0.06758592413028786,1.0,0.0,0.0,False
0001530,fall_hazard,rule_2,violation,2,True,True,compliant,compliant,0.047982244020594145,0.059493562938379485,0.0,-1.0,-1.0,False
0001597,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.03729852486313101,0.06377677295711781,1.0,0.0,0.0,False
0001623,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.0030103701033763475,-0.0036102695656674566,1.0,0.0,0.0,False
0001667,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.019799147998648015,-0.027566332851055475,1.0,0.0,,False
0001699,fall_hazard,rule_2,compliant,2,True,True,violation,violation,-0.06689106539956158,-0.0673547200858593,1.0,1.0,1.0,False
