image_id,rules,n_hazards,n_supported,verdict
0000007,rule_1|rule_3,2,0,none
0000009,rule_1|rule_3,2,1,partial
0000095,rule_1|rule_3,2,1,partial
0000328,rule_1|rule_2|rule_3,3,1,partial
0000386,rule_1|rule_4,2,1,partial
0000421,rule_3|rule_4,2,0,none
0000437,rule_1|rule_4,2,0,none
0000972,rule_1|rule_2,2,1,partial
0001285,rule_1|rule_4,2,2,complete
0001391,rule_1|rule_4,2,1,partial
0001658,rule_1|rule_4,2,0,none
0001982,rule_1|rule_4,2,2,complete
0001986,rule_1|rule_3,2,1,partial
0002093,rule_1|rule_4,2,1,partial
0002262,rule_1|rule_2,2,0,none
0002367,rule_2|rule_3,2,2,complete
0002570,rule_1|rule_2,2,0,none
0003351,rule_1|rule_3,2,1,partial
0003420,rule_1|rule_4,2,2,complete
0003928,rule_1|rule_3|rule_4,3,2,partial
0004235,rule_1|rule_2,2,2,complete
0004725,rule_1|rule_4,2,2,complete
