image_id,primary_class,assigned_rule_id,baseline_answer,n_regions,answer_changed_top1,answer_changed_top2,masked_answer_top1,masked_answer_top2,confidence_drop_top1,confidence_drop_top2,baseline_graded_score,graded_score_drop_top1,graded_score_drop_top2,non_monotonic
0000007,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.04534382546054461,-0.05523922760039568,1.0,0.0,0.0,False
0000022,compliant,rule_3,compliant,4,False,False,compliant,compliant,-0.05017333382940192,-0.050784840098848316,1.0,0.0,0.0,False
0000023,compliant,rule_1,compliant,1,False,False,compliant,compliant,0.005773896602197293,0.005773896602197293,,,,False
0000034,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.056955745111086475,-0.05147219496452571,1.0,0.0,0.0,False
0000037,compliant,rule_1,violation,2,True,True,compliant,compliant,0.04916449563045577,0.042852350510656834,0.0,-1.0,-1.0,False
0000057,compliant,rule_1,compliant,4,False,False,compliant,compliant,-0.10623169214579631,-0.10605942294781712,1.0,0.0,0.0,False
0000069,compliant,rule_1,violation,2,True,False,compliant,violation,-0.028458119236997148,0.013458284416369093,0.0,-1.0,0.0,True
0000074,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.029476054844313482,0.030214857143749108,1.0,0.0,0.0,False
0000079,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.0817844654832568,-0.050229236217481765,1.0,0.0,0.0,False
0000081,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.0030631959172231493,-0.02961275676966879,1.0,0.0,0.0,False
0000102,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.042414447957915935,0.04453065166515968,1.0,0.0,0.0,False
0000116,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.06236258794420535,-0.06161396624520421,1.0,0.0,0.0,False
0000117,fall_hazard,rule_3,compliant,3,False,False,compliant,compliant,-0.05489748423652985,-0.12193790335385568,1.0,0.0,0.0,False
0000120,struck_by_risk,rule_4,hazard,2,True,True,safe,safe,0.02711190438860056,0.039937896551666574,0.0,-1.0,-1.0,False
0000124,compliant,rule_2,violation,2,True,True,compliant,compliant,-0.04286568731601759,-0.12840809232204586,0.0,-1.0,-1.0,False
0000129,compliant,rule_1,violation,2,False,False,violation,violation,0.016625316813588142,0.012604386545717716,0.0,0.0,0.0,False
0000149,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.043230114442823764,-0.045300602027169345,1.0,,,False
0000183,compliant,rule_1,violation,2,True,False,compliant,violation,0.004691368368055171,0.04157720812197252,0.0,-1.0,0.0,True
0000203,fall_hazard,rule_3,violation,2,False,True,violation,compliant,-0.011394650143172091,0.008617787355823192,0.0,0.0,-1.0,False
0000204,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.03746466325329878,0.06820975483528213,1.0,0.0,0.0,False
0000205,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.0026006300061467424,0.04679219572553561,0.0,0.0,0.0,False
0000229,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.024919348569320765,0.024946653749793768,1.0,0.0,0.0,False
0000233,ppe_violation,rule_1,violation,2,False,True,violation,compliant,-0.013703660241195181,0.0009365713090767613,0.0,0.0,-1.0,False
0000253,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.0023091112590999385,-0.00917418924375224,,,,False
0000254,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.03499437043709408,-0.016808204219809664,1.0,0.0,0.0,False
0000280,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.002995462955108774,0.0005473220454795813,1.0,0.0,0.0,False
0000288,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.020262003670652118,-0.08568163056458733,1.0,0.0,0.0,False
0000325,compliant,rule_4,safe,2,False,False,safe,safe,-0.0035327135861573655,0.04431040978038703,1.0,0.0,,False
0000327,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.0599489927528396,0.08149709812705475,0.0,0.0,0.0,False
0000331,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.06955133408071501,0.10452054322712012,0.0,0.0,0.0,False
0000332,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.04184276144951582,-0.040586042883140605,1.0,0.0,0.0,False
0000341,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.01276444590517456,-0.004315572545178004,1.0,0.0,,False
0000361,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.0330602625221178,0.014066968246230105,,,,False
0000370,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.04433527206336818,-0.04585732542909682,1.0,1.0,1.0,False
0000376,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,-0.005675731758986169,-0.03321552303220554,0.0,-1.0,-1.0,False
0000413,compliant,rule_2,compliant,2,True,True,violation,violation,-0.02072890761441415,-0.04742089166705088,1.0,1.0,1.0,False
0000421,fall_hazard,rule_3,violation,2,False,False,violation,violation,-0.031518228085977595,-0.08197083037633157,0.0,0.0,,False
0000433,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.06283962082058658,0.053178366523400133,0.0,0.0,0.0,False
0000437,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.028893382820699975,0.028321995998599747,1.0,0.0,0.0,False
0000444,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.011532609350979328,0.013707409479788435,1.0,0.0,0.0,False
0000468,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.014546015067026019,-0.013994993375880393,1.0,0.0,0.0,False
0000469,ppe_violation,rule_1,compliant,4,False,True,compliant,violation,0.03523522728521922,-0.019252771312104677,1.0,0.0,1.0,False
0000471,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.031978673323243,0.06096583534309574,0.0,0.0,0.0,False
0000478,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.07268418950427857,-0.07216882233374877,1.0,1.0,1.0,False
0000486,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.02873030457244974,-0.011778461013412289,0.0,0.0,0.0,False
