image_id,primary_class,assigned_rule_id,baseline_answer,n_regions,answer_changed_top1,answer_changed_top2,masked_answer_top1,masked_answer_top2,confidence_drop_top1,confidence_drop_top2,baseline_graded_score,graded_score_drop_top1,graded_score_drop_top2,non_monotonic,text_ablated_answer,text_ablation_flip
0000007,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.015785358180957165,-0.05511532258242369,1.0,0.0,0.0,False,compliant,False
0000022,compliant,rule_3,compliant,4,False,False,compliant,compliant,-0.16875425389004728,-0.16875425389004728,1.0,,,False,compliant,False
0000023,compliant,rule_1,compliant,1,False,False,compliant,compliant,-0.013163295108824968,-0.013163295108824968,,,,False,compliant,False
0000034,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.02569941384717822,-0.05359429151255202,1.0,0.0,0.0,False,compliant,False
0000037,compliant,rule_1,violation,2,True,True,compliant,compliant,0.04279046173074408,0.03928464637803175,0.0,-1.0,-1.0,False,compliant,True
0000057,compliant,rule_1,compliant,4,True,False,violation,compliant,-0.06957280743228134,-0.1163761483689818,1.0,1.0,0.0,True,violation,True
0000069,compliant,rule_1,violation,2,True,False,compliant,violation,0.04883545621608698,0.010966454233442002,0.0,-1.0,0.0,True,compliant,True
0000074,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.0348695155366191,0.0342352514687394,1.0,0.0,0.0,False,violation,True
0000079,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.06525114551186562,-0.05760804151317911,1.0,0.0,0.0,False,violation,True
0000081,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.03026452627299092,-0.030694186690361724,1.0,0.0,,False,compliant,False
0000102,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.041955997768257314,0.047987116101597005,1.0,0.0,0.0,False,compliant,False
0000116,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.012155213792409247,-0.04036175725715507,1.0,0.0,0.0,False,compliant,False
0000117,fall_hazard,rule_3,compliant,3,False,False,compliant,compliant,-0.027084952397715467,-0.027084952397715467,1.0,0.0,0.0,False,compliant,False
0000120,struck_by_risk,rule_4,hazard,2,True,False,safe,hazard,0.031890796149497525,0.04969838392603532,0.0,-1.0,0.0,True,safe,True
0000124,compliant,rule_2,violation,2,True,True,compliant,compliant,-0.03391366558415554,-0.05351488540399374,0.0,-1.0,,False,compliant,True
0000129,compliant,rule_1,violation,2,False,False,violation,violation,0.0046406649718327975,0.010872957296669483,0.0,0.0,0.0,False,compliant,True
0000149,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,0.02771060649674495,-0.04551019567110526,1.0,0.0,,False,compliant,False
0000183,compliant,rule_1,violation,2,True,True,compliant,compliant,-0.03382620508117329,0.022345584285046405,0.0,-1.0,-1.0,False,compliant,True
0000203,fall_hazard,rule_3,violation,2,False,True,violation,compliant,0.004666390296603984,0.020384706955935306,0.0,0.0,-1.0,False,violation,False
0000204,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.0028506337132837567,-0.048340371752053746,1.0,0.0,,False,compliant,False
0000205,compliant,rule_4,hazard,2,True,False,safe,hazard,-0.00545498575009995,0.05977222993217335,0.0,-1.0,0.0,True,hazard,False
0000229,ppe_violation,rule_1,compliant,2,True,False,violation,compliant,-0.010751549354089174,0.02578566509432023,1.0,1.0,0.0,True,violation,True
0000233,ppe_violation,rule_1,violation,2,True,True,compliant,compliant,0.013002350128122675,-0.004804748709180573,0.0,-1.0,-1.0,False,compliant,True
0000253,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.011256102370200693,-0.008952555604852197,,,,False,compliant,True
0000254,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.012053924257911408,-0.02379744819232399,1.0,0.0,0.0,False,violation,True
0000280,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.06378649138323544,-0.06378649138323544,1.0,,,False,compliant,False
0000288,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.08083248670612053,-0.062388695776462555,1.0,0.0,0.0,False,compliant,False
0000325,compliant,rule_4,safe,2,False,False,safe,safe,-0.002026827084821603,0.0616909227037169,1.0,0.0,,False,safe,False
0000327,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.03164115619091756,0.027240858250667133,0.0,0.0,0.0,False,hazard,False
0000331,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.05223908825289647,0.07108401695285194,0.0,0.0,0.0,False,hazard,False
0000332,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.033936608183596784,-0.0402573401640568,1.0,0.0,0.0,False,compliant,False
0000341,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.020501852219740213,-0.020501852219740213,1.0,,,False,compliant,False
0000361,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.01455119118135384,0.010145304571059333,,,,False,violation,False
0000370,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.045029695112524304,-0.045029695112524304,1.0,1.0,1.0,False,violation,True
0000376,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,0.008504972194454452,-0.0301066927079644,0.0,-1.0,-1.0,False,compliant,True
0000413,compliant,rule_2,compliant,2,True,True,violation,violation,-0.019245193007269012,-0.037524012981780874,1.0,1.0,1.0,False,violation,True
0000421,fall_hazard,rule_3,violation,2,False,False,violation,violation,-0.020046424386756634,-0.1255023934274584,0.0,0.0,0.0,False,compliant,True
0000433,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.028961182641313532,-0.028961182641313532,0.0,0.0,0.0,False,hazard,False
0000437,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.019946730296526716,0.031235148464994866,1.0,0.0,0.0,False,compliant,False
0000444,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.06866847393154107,-0.06866847393154107,1.0,,,False,compliant,False
0000468,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.017283237539231777,-0.019579176990581426,1.0,0.0,0.0,False,compliant,False
0000469,ppe_violation,rule_1,compliant,4,False,False,compliant,compliant,-0.014747782942971965,-0.06467906033088044,1.0,0.0,0.0,False,compliant,False
0000471,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.02832659073765309,0.02832659073765309,0.0,0.0,0.0,False,hazard,False
0000478,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.04908911890483325,-0.04908911890483325,1.0,1.0,1.0,False,compliant,False
0000486,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.017914802968611254,0.017914802968611254,0.0,0.0,0.0,False,hazard,False
0000490,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,-0.06713867070146529,-0.06616523711781797,0.0,0.0,0.0,False,safe,True
0000503,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.034968655356871325,-0.02812102483585477,1.0,0.0,0.0,False,compliant,False
0000514,compliant,rule_1,compliant,2,True,False,violation,compliant,0.02711863709347595,0.037027547002903116,1.0,1.0,0.0,True,compliant,False
0000530,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.18031574067033107,-0.18031574067033107,0.0,0.0,0.0,False,hazard,False
0000545,ppe_violation,rule_1,compliant,2,True,False,violation,compliant,0.041824343747326354,0.07248463628015345,1.0,1.0,0.0,True,compliant,False
0000550,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,0.028615950224256004,0.049581703896235174,0.0,-1.0,-1.0,False,compliant,True
0000551,compliant,rule_4,safe,1,False,False,safe,safe,0.0006798883279164336,0.0006798883279164336,,,,False,safe,False
0000559,compliant,rule_4,hazard,2,True,True,safe,safe,0.047984019035566705,0.047984019035566705,0.0,-1.0,-1.0,False,safe,True
0000568,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.02477519194196376,-0.013228473120502016,1.0,0.0,0.0,False,compliant,False
0000606,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,0.043817055245329195,0.034607839870399726,1.0,0.0,0.0,False,compliant,False
0000613,compliant,rule_4,safe,1,True,True,hazard,hazard,-0.06969444436204231,-0.06969444436204231,,,,False,safe,False
0000620,compliant,rule_2,violation,16,False,False,violation,violation,0.006424913606466243,0.019996020752479193,,,,False,violation,False
0000623,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.04701257317460006,-0.07856829896835338,1.0,0.0,0.0,False,compliant,False
0000625,compliant,rule_3,compliant,2,True,True,violation,violation,-0.2319158412983794,-0.2319158412983794,1.0,1.0,1.0,False,compliant,False
