image_id,primary_class,assigned_rule_id,baseline_answer,n_regions,answer_changed_top1,answer_changed_top2,masked_answer_top1,masked_answer_top2,confidence_drop_top1,confidence_drop_top2,baseline_graded_score,graded_score_drop_top1,graded_score_drop_top2,non_monotonic
0000007,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.0553785040974617,-0.05511532258242369,1.0,0.0,0.0,False
0000022,compliant,rule_3,compliant,4,False,False,compliant,compliant,-0.16875425389004728,-0.16875425389004728,1.0,,,False
0000023,compliant,rule_1,compliant,1,False,False,compliant,compliant,-0.013163295108824968,-0.013163295108824968,,,,False
0000034,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.05694727752623807,-0.05359429151255202,1.0,0.0,0.0,False
0000037,compliant,rule_1,violation,2,True,True,compliant,compliant,0.04785112171832995,0.03928464637803175,0.0,-1.0,-1.0,False
0000057,compliant,rule_1,compliant,4,False,False,compliant,compliant,-0.10738412905998473,-0.10738412905998473,1.0,0.0,0.0,False
0000069,compliant,rule_1,violation,2,True,False,compliant,violation,-0.02652583776840145,0.010966454233442002,0.0,-1.0,0.0,True
0000074,compliant,rule_2,compliant,2,False,False,compliant,compliant,0.0342352514687394,0.0342352514687394,1.0,0.0,0.0,False
0000079,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.06525114551186562,-0.05760804151317911,1.0,0.0,0.0,False
0000081,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.03026452627299092,-0.030694186690361724,1.0,0.0,,False
0000102,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.047987116101597005,0.047987116101597005,1.0,0.0,0.0,False
0000116,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,-0.041135443474299205,-0.04036175725715507,1.0,0.0,0.0,False
0000117,fall_hazard,rule_3,compliant,3,False,False,compliant,compliant,-0.027084952397715467,-0.027084952397715467,1.0,0.0,0.0,False
0000120,struck_by_risk,rule_4,hazard,2,True,False,safe,hazard,0.031890796149497525,0.04969838392603532,0.0,-1.0,0.0,True
0000124,compliant,rule_2,violation,2,True,True,compliant,compliant,-0.03852973958211292,-0.05351488540399374,0.0,-1.0,,False
0000129,compliant,rule_1,violation,2,False,False,violation,violation,0.021910388621368626,0.010872957296669483,0.0,0.0,0.0,False
0000149,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.04551019567110526,-0.04551019567110526,1.0,,,False
0000183,compliant,rule_1,violation,2,True,True,compliant,compliant,0.003893904387950897,0.022345584285046405,0.0,-1.0,-1.0,False
0000203,fall_hazard,rule_3,violation,2,False,True,violation,compliant,0.004666390296603984,0.020384706955935306,0.0,0.0,-1.0,False
0000204,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.0028506337132837567,-0.048340371752053746,1.0,0.0,,False
0000205,compliant,rule_4,hazard,2,True,False,safe,hazard,-0.00545498575009995,0.05977222993217335,0.0,-1.0,0.0,True
0000229,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.02578566509432023,0.02578566509432023,1.0,0.0,0.0,False
0000233,ppe_violation,rule_1,violation,2,False,True,violation,compliant,-0.017715804278850555,-0.004804748709180573,0.0,0.0,-1.0,False
0000253,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.011256102370200693,-0.008952555604852197,,,,False
0000254,compliant,rule_3,compliant,2,False,False,compliant,compliant,0.012053924257911408,-0.02379744819232399,1.0,0.0,0.0,False
0000280,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.06378649138323544,-0.06378649138323544,1.0,,,False
0000288,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.062388695776462555,-0.062388695776462555,1.0,0.0,0.0,False
0000325,compliant,rule_4,safe,2,False,False,safe,safe,-0.002026827084821603,0.0616909227037169,1.0,0.0,,False
0000327,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.03164115619091756,0.027240858250667133,0.0,0.0,0.0,False
0000331,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,0.05223908825289647,0.07108401695285194,0.0,0.0,0.0,False
0000332,fall_hazard,rule_2,compliant,2,False,False,compliant,compliant,-0.0402573401640568,-0.0402573401640568,1.0,0.0,0.0,False
0000341,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.020501852219740213,-0.020501852219740213,1.0,,,False
0000361,fall_hazard,rule_3,violation,16,False,False,violation,violation,-0.01455119118135384,0.010145304571059333,,,,False
0000370,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.045029695112524304,-0.045029695112524304,1.0,1.0,1.0,False
0000376,fall_hazard,rule_3,violation,2,True,True,compliant,compliant,0.008504972194454452,-0.0301066927079644,0.0,-1.0,-1.0,False
0000413,compliant,rule_2,compliant,2,True,True,violation,violation,-0.019245193007269012,-0.037524012981780874,1.0,1.0,1.0,False
0000421,fall_hazard,rule_3,violation,2,False,False,violation,violation,-0.020046424386756634,-0.1255023934274584,0.0,0.0,0.0,False
0000433,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.028961182641313532,-0.028961182641313532,0.0,0.0,0.0,False
0000437,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.031235148464994866,0.031235148464994866,1.0,0.0,0.0,False
0000444,compliant,rule_2,compliant,2,False,False,compliant,compliant,-0.06866847393154107,-0.06866847393154107,1.0,,,False
0000468,fall_hazard,rule_3,compliant,2,False,False,compliant,compliant,-0.017283237539231777,-0.019579176990581426,1.0,0.0,0.0,False
0000469,ppe_violation,rule_1,compliant,4,False,False,compliant,compliant,0.029119480911287576,-0.040567800735256454,1.0,0.0,0.0,False
0000471,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.02832659073765309,0.02832659073765309,0.0,0.0,0.0,False
0000478,fall_hazard,rule_3,compliant,2,True,True,violation,violation,-0.04908911890483325,-0.04908911890483325,1.0,1.0,1.0,False
0000486,compliant,rule_4,hazard,2,False,False,hazard,hazard,0.017914802968611254,0.017914802968611254,0.0,0.0,0.0,False
0000490,struck_by_risk,rule_4,hazard,2,False,False,hazard,hazard,-0.06713867070146529,-0.06616523711781797,0.0,0.0,0.0,False
0000503,compliant,rule_3,compliant,2,False,False,compliant,compliant,-0.008548557558762049,-0.02812102483585477,1.0,0.0,0.0,False
0000514,compliant,rule_1,compliant,2,False,False,compliant,compliant,0.037027547002903116,0.037027547002903116,1.0,0.0,0.0,False
0000530,compliant,rule_4,hazard,2,False,False,hazard,hazard,-0.18031574067033107,-0.18031574067033107,0.0,0.0,0.0,False
0000545,ppe_violation,rule_1,compliant,2,False,False,compliant,compliant,0.07318525960935018,0.07248463628015345,1.0,0.0,0.0,False
